,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
구미시,190132,202223,206101,187984,196816,210203,220187,302413,311437,321463,328659,335487,336914,344159,350011,355629,365681,374614,386465,391897,393959,396419,404920,413446,416949,419428,420320,419915,419891,421799,421494,419742,416328,412581
대전광역시,1020613,1051795,1062084,1091111,1134843,1189039,1232823,1265081,1293760,1318212,1341413,1363546,1385606,1403164,1419573,1432296,1443471,1454638,1466158,1475659,1480895,1484180,1503664,1515603,1524583,1532811,1531809,1518775,1514370,1502227,1489936,1474870,1463882,1452251
수원시,543742,605225,644968,670326,696322,713221,729017,746610,769876,798640,854084,910045,948065,974866,1019711,1032944,1033829,1045587,1068906,1067702,1067425,1073149,1077535,1088489,1120258,1148157,1174228,1184624,1194041,1202628,1201166,1194465,1186078,1183714
양평군,17429,19351,19726,18075,77593,77111,76548,78749,81314,81502,81200,81885,82773,82704,82992,83730,84673,85533,86298,87874,89812,91450,95833,99430,102193,103620,105379,108316,111367,115105,116095,116874,118810,121230
원주시,161533,165956,173013,164975,171356,175910,179828,237537,244535,254271,260355,265073,270009,274266,276889,280738,284628,288454,294155,298762,303975,307882,314678,320536,323885,324837,327292,332995,337979,341337,344070,349215,354376,357757
의성군,21419,20711,20500,20268,96598,93233,89786,86169,83552,81533,80559,78866,76327,73872,70863,68372,66124,64457,62947,61366,60033,59109,58832,57744,57043,56064,55212,54477,54014,53474,52944,52595,51724,50632
제주시,223285,229815,232687,228665,237481,243014,248537,255247,260640,265856,270424,273930,278535,284498,289874,292124,296068,303499,403601,405458,407498,410378,417539,422790,429656,438165,448834,459876,470665,478700,485946,489405,492466,493096
청주시,417435,453470,497429,455148,471118,489033,504221,519072,530836,544115,557405,569072,580861,592504,603941,615155,624288,630939,626679,633286,638663,643161,655971,661946,666852,672904,831521,831912,835197,835590,837749,839566,844993,848482
평창군,11941,11324,10844,11162,53352,51716,50535,49781,49361,48811,48746,48003,47125,46478,46262,46375,45311,45033,44332,44003,43706,43634,43622,43577,43627,43666,43660,43500,43318,43092,42610,42106,41681,40996
홍천군,31911,32032,31476,30840,79408,78047,76891,75924,75493,75105,75251,74939,74461,74019,72514,71351,71907,70811,70037,70142,70360,69606,69893,69899,69727,70638,70451,70336,70076,70340,69949,69150,69242,68365
